layer,rank,feature_idx,direction,low_entropy_mean,high_entropy_mean,low_entropy_freq,high_entropy_freq,effect_size,p_value
0,0,15718,low_entropy,1.4169542280986804,1.054611958139035,0.9971526195899773,0.8912300683371298,-1.0954948413382344,1.2920392596673812e-236
0,1,9915,high_entropy,0.8651717449442944,1.1907959360128655,0.8798405466970387,0.9664009111617312,0.9817290917500863,2.0854761983070098e-236
0,2,16283,low_entropy,3.1766546656439134,3.0652262400114454,1.0,1.0,-0.9091482538259475,1.4655366623497038e-143
0,3,32208,low_entropy,2.4029852029674417,2.253272925055923,1.0,1.0,-0.8284786933488615,8.895515475142172e-112
0,4,16169,low_entropy,1.1487597485066547,0.9867865229725566,0.9977220956719818,0.9515945330296127,-0.7423058915848113,1.0594283007788274e-96
0,5,24970,low_entropy,3.778448992546707,3.4514091150635737,1.0,1.0,-0.7264341185458332,3.7683733144912045e-93
0,6,26014,low_entropy,2.9135218785401085,2.806465644092386,1.0,1.0,-0.7126615856686781,5.502435905645503e-97
0,7,14505,low_entropy,4.310966034277697,4.034369239638769,1.0,1.0,-0.7056921348545834,3.7958413181082464e-90
0,8,11196,low_entropy,3.2365415276183085,3.156212453554323,1.0,1.0,-0.686415891484641,4.504140713505224e-113
0,9,26376,low_entropy,1.9608625367046217,1.8937729728113275,1.0,1.0,-0.6637207061907449,1.2191435621676865e-75
0,10,27393,low_entropy,1.013872140666347,0.842354618369311,0.9812072892938497,0.878132118451025,-0.6202277150797796,7.387801205550633e-83
0,11,3685,low_entropy,1.2338906973260952,1.1437698228619908,0.9988610478359908,0.9988610478359908,-0.6038553017949005,6.367248154181455e-60
0,12,1449,low_entropy,2.849560651257804,2.645344523878467,1.0,1.0,-0.5823421381177795,8.671736259725338e-64
0,13,4891,low_entropy,2.1902568338943778,2.1112206574860357,1.0,0.9994305239179955,-0.5678758884103808,6.746592798542133e-58
0,14,12043,high_entropy,0.20422672122241695,0.5140120068688055,0.224373576309795,0.37300683371298404,0.5425294659630003,1.593390076222392e-38
0,15,4883,low_entropy,1.8579443445374049,1.80868987151865,1.0,1.0,-0.5337328962176027,1.581648780279995e-56
0,16,25169,low_entropy,1.3205673559176352,1.2566646524876832,1.0,1.0,-0.519166408808401,1.8445453185638616e-41
0,17,7270,high_entropy,0.00181645949229021,0.09743975214914743,0.0017084282460136675,0.12414578587699317,0.5144134437904421,3.2007498973508344e-50
0,18,31929,low_entropy,2.355611380792153,2.2911649988561122,1.0,1.0,-0.5087919479786399,2.968689568243496e-60
0,19,29041,low_entropy,0.25828070989502316,0.0775359364604081,0.2693621867881549,0.08314350797266515,-0.5042180780152357,9.388847473023903e-48
0,20,26044,low_entropy,4.233251953315083,4.127741704769178,1.0,1.0,-0.5009614218887458,2.7550713354335807e-56
0,21,30437,low_entropy,3.0636893923570465,2.9511991417489454,1.0,1.0,-0.49658274723907536,7.550214611879862e-37
0,22,24587,low_entropy,2.11014880949381,2.0292808801818274,1.0,1.0,-0.4904177161776432,1.9915076024212015e-47
0,23,1770,high_entropy,1.8862284319411649,1.9750056549872788,1.0,1.0,0.4890494495082222,3.700887218664991e-50
0,24,3275,high_entropy,0.28985724718668465,0.4891626707581561,0.3530751708428246,0.570615034168565,0.482459821198663,3.221038934829623e-58
0,25,22774,low_entropy,0.9584256881733418,0.8241491987452692,0.9533029612756264,0.8735763097949886,-0.47113624978668167,6.334717531377722e-81
0,26,4096,high_entropy,1.0297346791265223,1.2256620188237324,0.8695899772209568,0.9498861047835991,0.46518384823746073,2.012298694387277e-48
0,27,29754,low_entropy,0.956004580461626,0.7933022522098111,0.9248291571753986,0.8023917995444191,-0.4593174715704146,2.845669725311012e-49
0,28,25400,low_entropy,2.90904028404818,2.845572803585296,1.0,0.9994305239179955,-0.45530146213988787,1.3726941447423823e-44
0,29,30286,low_entropy,5.243345924689177,5.099455811032402,1.0,1.0,-0.4541736645274706,1.8857189536988926e-36
0,30,24867,low_entropy,3.0391064910790915,2.9710960536176905,1.0,0.9994305239179955,-0.4487769354560146,2.101360976374444e-56
0,31,9387,high_entropy,0.018432544175204492,0.17220191718641337,0.017084282460136675,0.1264236902050114,0.43719445984436756,1.1917086645015027e-36
0,32,27142,low_entropy,0.5868652567505022,0.40842328351288015,0.6896355353075171,0.47266514806378135,-0.42876435690537085,1.1045685449442977e-24
0,33,603,low_entropy,0.26535201653125345,0.11752966419710928,0.31662870159453305,0.14009111617312073,-0.4279987894590295,3.3421776451095733e-35
0,34,6733,high_entropy,10.034357202351773,10.183809687173447,1.0,1.0,0.41173359871977033,7.601100530445503e-32
0,35,1812,low_entropy,1.3252843407264874,1.2659586420566997,1.0,0.9982915717539863,-0.4112350296082499,5.865115499324891e-32
0,36,7231,low_entropy,0.9088351155603666,0.7017431497098645,0.7932801822323462,0.6645785876993167,-0.4016051622685334,2.6438214808759807e-43
0,37,24521,low_entropy,4.25986402914573,4.201472799707382,1.0,1.0,-0.39756341834147174,1.1456137072421221e-26
0,38,14326,high_entropy,0.002946020835896016,0.0778546211456112,0.003416856492027335,0.08314350797266515,0.3959021890360729,3.262229332533975e-31
0,39,4671,high_entropy,0.05564772722932907,0.22196912673855698,0.05011389521640091,0.1548974943052392,0.3846974308659063,8.121668161053103e-26
0,40,27323,high_entropy,0.45222864831227105,0.6238923593506998,0.5193621867881549,0.6543280182232346,0.38167475294722036,2.2074891487726414e-58
0,41,22056,low_entropy,1.91124845698374,1.850388815978665,1.0,0.9994305239179955,-0.3785927876046276,7.358603563523568e-28
0,42,28286,low_entropy,2.30964968334841,2.267235070127561,1.0,1.0,-0.37662540362483654,2.0726810289640541e-38
